subject_number,condition,trial_number,phase,block,target_gender,target_race,flanker_gender,flanker_race,flanker_emotion,stimulus_type,study_flanker_emotion,study_flanker_gender,pair_type,response,rt,correct,timed_out,rating
1,1,1,study,0,female,Black,male,Black,neutral,,,,,m,1546,True,False,
1,1,2,study,0,male,Black,female,Black,angry,,,,,z,1601,True,False,
1,1,3,study,0,male,White,male,Black,neutral,,,,,z,1828,True,False,
1,1,4,study,0,male,Latino,female,White,happy,,,,,m,1223,False,False,
1,1,5,study,0,male,Asian,male,White,angry,,,,,z,816,True,False,
1,1,6,study,0,female,Black,female,White,neutral,,,,,m,944,True,False,
1,1,7,study,0,male,Black,male,White,happy,,,,,z,1375,True,False,
1,1,8,study,0,female,White,female,Black,happy,,,,,m,849,True,False,
1,1,9,study,0,female,Black,male,White,happy,,,,,m,978,True,False,
1,1,10,study,0,female,White,female,White,angry,,,,,m,1212,True,False,
1,1,11,study,0,male,White,female,Black,neutral,,,,,z,1154,True,False,
1,1,12,study,0,male,White,male,Black,neutral,,,,,z,1463,True,False,
1,1,13,study,0,male,Latino,male,White,happy,,,,,z,1448,True,False,
1,1,14,study,0,male,Latino,male,White,happy,,,,,z,1075,True,False,
1,1,15,study,0,male,Black,male,Black,happy,,,,,z,712,True,False,
1,1,16,study,0,female,Black,female,White,neutral,,,,,m,879,True,False,
1,1,17,study,0,male,Latino,female,Black,angry,,,,,z,1179,True,False,
1,1,18,study,0,female,White,male,Black,happy,,,,,m,1143,True,False,
1,1,19,study,0,female,Asian,female,Black,neutral,,,,,m,989,True,False,
1,1,20,study,0,female,White,female,White,happy,,,,,m,807,True,False,
1,1,21,study,0,male,Latino,female,Black,neutral,,,,,z,1157,True,False,
1,1,22,study,0,female,Black,male,Black,neutral,,,,,m,1014,True,False,
1,1,23,study,0,female,Black,female,Black,angry,,,,,m,936,True,False,
1,1,24,study,0,female,Black,female,White,neutral,,,,,m,934,True,False,
1,1,25,study,0,male,Black,male,White,angry,,,,,z,1655,True,False,
1,1,26,study,0,female,Black,male,Black,happy,,,,,m,1218,True,False,
1,1,27,study,0,female,Latino,male,Black,happy,,,,,m,838,True,False,
1,1,28,study,0,male,Black,female,White,happy,,,,,z,1205,True,False,
1,1,29,study,0,male,Latino,male,Black,angry,,,,,z,1851,True,False,
1,1,30,study,0,male,Latino,male,Black,neutral,,,,,z,1092,True,False,
1,1,31,study,0,female,Black,male,Black,neutral,,,,,m,1813,True,False,
1,1,32,study,0,male,Asian,male,Black,angry,,,,,z,1457,True,False,
1,1,33,study,0,male,Asian,female,White,angry,,,,,z,1623,True,False,
1,1,34,study,0,female,Asian,female,Black,happy,,,,,m,1198,True,False,
1,1,35,study,0,female,Asian,male,Black,neutral,,,,,m,1485,True,False,
